ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,_year
12991750,JG160833,02/21/2023 2:50:00 PM,031XX W MADISON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1124,11,28,27,08B,1155522,1899851,2023,08/19/2023 3:40:26 PM,41.88099194,-87.70439499,"(41.880991939, -87.704394994)",2023
12901974,JF485863,11/23/2022 11:56:00 PM,045XX S SPAULDING AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,821,8,14,58,15,1155135,1874333,2022,01/03/2023 3:40:27 PM,41.81097532,-87.70649995,"(41.810975324, -87.706499952)",2022
13170563,JG376595,08/09/2023 10:51:00 PM,056XX N RIDGE AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2013,20,48,77,6,1167084,1937517,2023,08/19/2023 3:40:26 PM,41.98410903,-87.66085538,"(41.984109031, -87.660855375)",2023
13332035,JH108355,01/03/2024 2:30:00 PM,064XX S DR MARTIN LUTHER KING JR DR,810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,312,3,20,69,6,1180027,1862432,2024,12/21/2024 3:40:46 PM,41.77778339,-87.61556307,"(41.777783389, -87.615563072)",2024
12789122,JF350930,08/09/2022 8:00:00 PM,078XX S COLFAX AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,421,4,7,43,17,1194881,1853458,2022,01/03/2023 3:40:27 PM,41.75280497,-87.56140422,"(41.752804968, -87.561404219)",2022
13338677,JH116150,01/15/2024 12:00:00 AM,079XX S SANGAMON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,FALSE,TRUE,621,6,17,71,04A,1171354,1852179,2024,12/21/2024 3:40:46 PM,41.74984213,-87.64765796,"(41.74984213, -87.647657961)",2024
13717526,JJ111474,06/01/2024 12:00:00 AM,029XX W 25TH ST,265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,APARTMENT,FALSE,FALSE,1033,10,24,30,2,1157120,1887260,2024,05/17/2025 3:40:52 PM,41.84640863,-87.69886891,"(41.846408628, -87.698868907)",2024
13905800,JJ340279,07/15/2025 12:21:00 PM,023XX W MADISON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,FALSE,FALSE,1223,12,27,28,11,1160863,1899962,2025,03/14/2026 3:41:39 PM,41.88118745,-87.6847801,"(41.881187452, -87.684780097)",2025
13477592,JH284610,05/29/2024 10:00:00 PM,061XX N DAMEN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2413,24,40,2,6,1161878,1940925,2024,05/17/2025 3:40:52 PM,41.99357127,-87.6799066,"(41.993571267, -87.679906603)",2024
13976174,JJ425755,09/23/2025 4:07:00 PM,109XX S DOTY AVE E,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,TRUE,FALSE,513,5,10,51,6,1185667,1832643,2025,03/14/2026 3:41:39 PM,41.69590816,-87.59582281,"(41.695908161, -87.595822806)",2025
13680954,JH529025,12/03/2024 9:58:00 AM,027XX W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1023,10,25,30,14,1158228,1889274,2024,11/02/2025 3:41:09 PM,41.85191273,-87.69474762,"(41.85191273, -87.694747624)",2024
14067645,JJ536901,12/28/2025 3:30:00 AM,005XX N MILWAUKEE AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1214,12,27,24,6,1170867,1903766,2025,03/14/2026 3:41:39 PM,41.89141255,-87.6479346,"(41.891412551, -87.647934597)",2025
13932408,JJ372494,08/12/2025 4:41:00 PM,009XX N CICERO AVE,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,TRUE,FALSE,1531,15,37,25,18,1144183,1906031,2025,03/14/2026 3:41:39 PM,41.89817106,-87.74587608,"(41.89817106, -87.74587608)",2025
13851482,JJ274006,05/29/2025 7:22:00 PM,049XX S HONORE ST,560,ASSAULT,SIMPLE,ALLEY,FALSE,FALSE,931,9,15,61,08A,1164850,1871939,2025,03/14/2026 3:41:39 PM,41.80420593,-87.6709337,"(41.804205931, -87.670933698)",2025
13180338,JG387445,10/14/2022 2:32:00 PM,021XX N ELSTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,1432,14,32,22,11,,,2022,08/19/2023 3:41:54 PM,,,,2022
13167377,JG372845,08/06/2023 7:45:00 AM,016XX S RACINE AVE,820,THEFT,$500 AND UNDER,NURSING / RETIREMENT HOME,FALSE,FALSE,1235,12,25,31,6,1168634,1892116,2023,08/19/2023 3:40:26 PM,41.85949272,-87.65647271,"(41.859492718, -87.656472706)",2023
12790281,JF352387,08/11/2022 4:30:00 AM,057XX S CICERO AVE,560,ASSAULT,SIMPLE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,813,8,23,56,08A,1145654,1866253,2022,01/03/2023 3:40:27 PM,41.78898704,-87.74147999,"(41.788987036, -87.74147999)",2022
13756674,JJ158815,02/23/2025 6:38:00 AM,119XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,TRUE,FALSE,522,5,9,53,14,1178405,1825639,2025,11/02/2025 3:41:09 PM,41.67685572,-87.62262297,"(41.676855715, -87.622622972)",2025
13261548,JG485428,10/31/2023 6:00:00 AM,029XX N NAGLE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2511,25,36,19,7,1132906,1918836,2023,11/08/2023 3:41:47 PM,41.93351399,-87.78699666,"(41.933513987, -87.786996655)",2023
12336682,JE195144,04/10/2021 8:54:00 AM,060XX S LAFLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,713,7,16,67,08B,1167367,1864706,2021,04/17/2021 3:40:53 PM,41.78430412,-87.66190971,"(41.784304124, -87.661909708)",2021
